title;short;credits;schedule;campus;Category;faculty;code;teacher;description
Comunicación política;Pc;3;Lunes;CHAP;Social;econ;DH176;n/a;Lorem ipsum
Fortalecimiento cognitivo;Fc;3;Martes;CHAP;Humanidades;agrop;DH146;n/a;Lorem ipsum
Procesos de pensamiento;Pp;3;Lunes;CHAP;Humanidades;econ;DH178;n/a;Lorem ipsum
La revolución digital de las ciencias;Rd;3;Miércoles;CHAP;Humanidades;econ;DH180;n/a;Lorem ipsum
Educación, conflicto y paz;Ec;3;Lunes;CHAP;Humanidades;educ;DH181;n/a;Lorem ipsum
Íconos, imágenes y sus lógicas;Ii;3;Lunes;CHAP;Humanidades;educ;DH184;n/a;Lorem ipsum
Animales y humanos: la diferencia;Ah;3;Jueves;CAN;Naturaleza y sostenibilidad;dfl;DH141;n/a;Lorem ipsum
Mujeres y conocimiento;Mc;3;Jueves;CAN;Humanidades;dfl;DH142;n/a;Lorem ipsum
Competencias ciudadanas;Co;3;Lunes;CAN;Social;adm;DH144;n/a;Lorem ipsum
Comamos carne: verdades y no verdades;Cc;3;Miércoles;NOR;Naturaleza y sostenibilidad;agrop;DH169;n/a;Lorem ipsum
Mujer y violencia en el cine;Mv;3;Jueves;CHAP;Humanidades;econ;DH205;n/a;Lorem ipsum
Cine desde la perspectiva latinoamericana;Cl;3;Jueves;CAN;Humanidades;econ;DH147;n/a;Lorem ipsum
Agroturismo;At;3;Miércoles;NOR;Naturaleza y sostenibilidad;ing;DH222;n/a;Lorem ipsum
Los jóvenes y la biblia;Jb;3;Lunes;CHAP;Humanidades;educ;DH185;n/a;Lorem ipsum
Conflictos internacionales y religi√ìn;Ci;3;Jueves;CAN;Social;dfl;DH143;n/a;Lorem ipsum
Sociedad y cultura en la era digital;Sc;3;Lunes;CHAP;Humanidades;dfl;DH165;n/a;Lorem ipsum
Catedra bogotá;Cb;3;Lunes;CAN;Humanidades;hab;DH150;n/a;Lorem ipsum
Cooperativismo y empresa de familia;Ce;3;Lunes;NOR;Social;agrop;DH208;n/a;Lorem ipsum
Organizaciones sociales y movimiento agrario;Ma;3;Jueves;CAN;Social;econ;DH148;n/a;Lorem ipsum
El ocaso del amor: entre la abnegación y la libertad;Oa;3;Lunes;CHAP;Humanidades;econ;DH170;n/a;Lorem ipsum
Apreciación comparada de la música;Am;3;Jueves;CAN;Arte;VPDH;DH163;n/a;Lorem ipsum
Cuerpo lenguaje y comunicación;Cu;3;Lunes;CAN;Arte;VPDH;DH164;n/a;Lorem ipsum
Recreando el mundo con arte;Ra;3;Sabado;CHAP;Arte;VPDH;DH206;n/a;Lorem ipsum
De las tablas al tablero;Tt;3;Sabado;CHAP;Arte;VPDH;DH207;n/a;Lorem ipsum
Cruz roja: acompañamiento humanitario;Ah;2;Martes;CHAP;Humanidades;VPDH;FPS01;n/a;Lorem ipsum
Artes plásticas;Ap;1;Jueves;CAN;Arte;VPDH;FCA40;n/a;Lorem ipsum
Cine y fotografía;Cf;1;Jueves;CAN;Arte;VPDH;FCA41;n/a;Lorem ipsum
Danzas y ritmos colombianos;Rc;1;Lunes;CAN;Arte;VPDH;FCA42;n/a;Lorem ipsum
Grupo de danzas;Gd;1;Lunes;CAN;Arte;VPDH;FCA43;n/a;Lorem ipsum
Iniciación a artes escénicas;Ae;1;Jueves;CAN;Arte;VPDH;FCA44;n/a;Lorem ipsum
Gestión ambiental;Ga;3;Martes;CHAP;Naturaleza y sostenibilidad;ing;DH223;n/a;Lorem ipsum
Lectura y escritura de textos académicos;Ta;3;Martes;CHAP;Humanidades;educ;DH186;n/a;Lorem ipsum
Lectura crítica y textos argumentativos;Lc;3;Lunes;CHAP;Humanidades;educ;DH187;n/a;Lorem ipsum
Patologías de la modernidad;Pm;3;Lunes;CHAP;Naturaleza y sostenibilidad;dfl;DH166;n/a;Lorem ipsum
Dibujo artístico;Da;3;Sabado;CAN;Arte;hab;DH151;n/a;Lorem ipsum
Opciones para el emprendimiento;Em;3;Miércoles;NOR;Naturaleza y sostenibilidad;agrop;DH209;n/a;Lorem ipsum
Cuidado de si y practicas de autocuidado;Pa;3;Lunes;CHAP;Humanidades;econ;DH171;n/a;Lorem ipsum
Habilidades sociales para el desarrollo personal y profesional;Hs;3;Lunes;CHAP;Social;econ;DH173;n/a;Lorem ipsum
Iniciación al piano;Sp;1;Jueves;CAN;Arte;VPDH;FCA45;n/a;Lorem ipsum
Interpretación de guitarra;Ig;1;Lunes;CAN;Arte;VPDH;FCA46;n/a;Lorem ipsum
Piano;Pi;1;Lunes;CAN;Arte;VPDH;FCA48;n/a;Lorem ipsum
Técnica vocal sonante y consonante;Tv;1;Lunes;CAN;Arte;VPDH;FCA49;n/a;Lorem ipsum
Orquesta;Or;1;Lunes;CAN;Arte;VPDH;FCA47;n/a;Lorem ipsum
Grupo coral institucional;Gc;1;Sabado;CAN;Arte;VPDH;FCA50;n/a;Lorem ipsum
Grupo de teatro;Gt;1;Sabado;CHAP;Arte;VPDH;FCA52;n/a;Lorem ipsum
Grupo rock;Gr;1;Lunes;CHAP;Arte;VPDH;FCA53;n/a;Lorem ipsum
Baloncesto;Ba;1;Lunes;CAN;Deporte;VPDH;FCD01;n/a;Lorem ipsum
Fútbol sala;Fs;1;Lunes;CAN;Deporte;VPDH;FCD03;n/a;Lorem ipsum
Tecnología ambiente y salud;Ts;3;Martes;CHAP;Naturaleza y sostenibilidad;salud;DH192;n/a;Lorem ipsum
Cuidado de sí y de los otros;Cs;3;Martes;CHAP;Naturaleza y sostenibilidad;educ;DH189;n/a;Lorem ipsum
Ciencia, ficci√ìn y cultura;Cf;3;Lunes;CHAP;Humanidades;dfl;DH167;n/a;Lorem ipsum
Aprendiendo de acuarios y peces;Ac;3;Miércoles;NOR;Naturaleza y sostenibilidad;agrop;DH212;n/a;Lorem ipsum
Alternativas sostenibles para el desarrollo;Sd;3;Lunes;NOR;Naturaleza y sostenibilidad;agrop;DH210;n/a;Lorem ipsum
Cine y narrativas visuales;Cn;3;Lunes;CHAP;Humanidades;econ;DH174;n/a;Lorem ipsum
Música: historias, jóvenes y revolución;Mu;3;Martes;CHAP;Humanidades;econ;DH175;n/a;Lorem ipsum
Karate do;Kd;1;Lunes;CAN;Deporte;VPDH;FCD04;n/a;Lorem ipsum
Voleibol;Vo;1;Lunes;CAN;Deporte;VPDH;FCD05;n/a;Lorem ipsum
Selección fútbol sala femenino;Ff;1;Lunes;CAN;Deporte;VPDH;FCD06;n/a;Lorem ipsum
Selección karate do femenino;Kf;1;Lunes;CAN;Deporte;VPDH;FCD08;n/a;Lorem ipsum
Selección karate do masculino;Km;1;Jueves;CAN;Deporte;VPDH;FCD09;n/a;Lorem ipsum
Tenis de mesa;Tm;1;Jueves;CAN;Deporte;VPDH;FCD15;n/a;Lorem ipsum
Selección fútbol sala masculina;Fm;1;Jueves;CAN;Deporte;VPDH;FCD07;n/a;Lorem ipsum
Selección voleibol masculina;Vm;1;Miércoles;CHAP;Deporte;VPDH;FCD13;n/a;Lorem ipsum
Fútbol 8;Fo;1;Miércoles;NOR;Deporte;VPDH;FCD14;n/a;Lorem ipsum
Patologías sociales y la paz como terapéutica integral;Ps;3;Martes;CHAP;Humanidades;salud;DH218;n/a;Lorem ipsum
El derecho a la educación en colombia;DeC;3;Martes;CHAP;Humanidades;educ;DH191;n/a;Lorem ipsum
Sociedad de consumo, jóvenes y religión;Jr;3;Jueves;CAN;Humanidades;dfl;DH217;n/a;Lorem ipsum
Relación humano: animales de compañía;Rh;3;Jueves;CAN;Naturaleza y sostenibilidad;agrop;DH224;n/a;Lorem ipsum
Apicultura como alternativa socio-ambiental y profesional;Ap;3;Lunes;NOR;Naturaleza y sostenibilidad;agrop;DH211;n/a;Lorem ipsum
Cine y modernidad;Cm;3;Jueves;CAN;Humanidades;hum;DH152;n/a;Lorem ipsum
Encuentros transnacionales en el arte: américa latina y japón;Jp;3;Lunes;CAN;Humanidades;hum;DH153;n/a;Lorem ipsum
Introducción a la política para gente decente;Pg;3;Lunes;CAN;Humanidades;hum;DH154;n/a;Lorem ipsum
Creación poética;Cpo;3;Lunes;CAN;Humanidades;hum;DH155;n/a;Lorem ipsum
